ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
11,26,11,136,95,13,1,0,0,45,247,220,123,,18,6,71,10,,,,,,,0,,,1,,0,,,,,6,149,108,,24,23,,60,1,,5,68,10,,,,0,0,,,,,0,,,,,,,25,,110,2,12,,,,18,2,9,,,,48,,,,0,,,,1,0,,,,,,,2,77,,,,,5,4,,,5,4,6,2,2,,,89,,,,,,,,,47,,,,,,7,2,2,0,26,15,0,0,1,,,,,,5,,,,,,,,,,,,,,,,,,,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
12,,7,5,5,,4,8,2,16,187,138,646,,286,53,185,22,,,5,,,,2,,,4,,1,,,,,9,212,92,,471,208,,174,67,1,137,200,19,,,,2,1,,,,,1,,,,,,,36,,302,,10,,,1,129,21,26,,,3,43,,,,2,,,,4,1,,,,,,,1,153,45,4,,1,2,,,,14,26,12,,2,1,40,52,,,,,,,,,139,,3,3,3,,21,10,,,107,53,,9,1,,,,,,8,4,1,,,,,,,,,,,,,,,,7,7,35,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,23
13,,,,,,,,,,,,,57,187,,,,,,,,,,,,,,,,,,,,,72,,,360,72,,,72,,144,144,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,28,,,,,,,,,,,,,,28,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,12,12,28,,,4,,14,20,27,372,7,552,224,33,9,,,4,,,,,,,,,,,,,,13,310,9,,1359,287,6,171,97,1,198,294,27,,,,,,,,,,,,,,,,,50,,543,10,17,,,1,159,21,46,,,11,84,,,,,,,,,,,,,,,,9,304,55,4,,5,14,,,,23,46,21,3,,3,47,211,2,,,,,,,4,235,3,11,1,1,,43,21,,,96,44,11,21,1,,,,,9,8,19,5,,12,2,12,3,,,,,9,9,9,,,,14,25,29,55,,,,,,,4,,8,11,2,2,4,3,,6,1,,,,,,,5,,,,9,2,4,4,21,12,3,,,,20
15,0,5,4,6,,1,4,0,8,21,6,47,,152,69,29,6,,,3,,,,0,,,1,,0,,,,,8,130,9,,532,17,7,20,1,0,2,72,16,,,,0,0,,,,,0,,,,,,,29,,161,5,4,,,0,12,3,2,,,3,53,,,,0,,,,1,0,,,,,,,0,109,4,2,,1,5,,0,0,1,2,1,1,0,1,0,129,1,,,,,,,0,67,1,3,0,0,,1,0,,,5,2,,0,,,,,,3,1,1,0,,4,,,,,,,,,,3,,,,0,0,1,,,,,,,,1,,3,4,1,,,,,3,0,,,,,,,,,,,2,,,,5,3,0,,,,0
16,32,14,65,75,13,28,13,25,53,178,87,200,,27,35,484,67,9,,4,,4,,22,30,,18,,6,,,,,8,161,104,,122,44,,181,38,3,20,100,16,,,,3,48,,,,14,1,,,,,,,25,,143,,37,5,16,20,77,18,54,,,,34,,,,11,,,,10,2,,,,,,,4,104,30,17,,,28,,11,5,3,6,5,5,6,8,2,34,,,,,,,,,19,,14,3,3,,,,,,64,24,,,,,,,,,,,,,6,,,,,,,23,,,2,,,,,3,16,34,17,,,,12,3,2,8,4,,,,,12,,12,10,,6,5,2,5,10,,,,,,,,,,,,,,,14
17,42,38,100,86,3,58,13,10,83,138,23,42,,14,14,117,168,53,,18,,18,,37,24,,55,,18,,,,,0,96,63,38,150,,,10,81,23,33,135,1,,,,37,6,,,13,4,35,,,,,,,8,,113,,54,1,48,3,7,,255,,,17,7,,,,22,29,13,14,32,4,,,,,,,25,73,11,3,,0,35,,3,7,0,7,21,47,34,6,1,12,,,,,,,,2,15,,3,,0,,40,12,26,13,123,126,59,17,5,,,,,,2,4,,7,14,2,7,5,,,17,57,23,,10,7,,,,63,236,83,3,28,28,14,42,84,5,23,6,10,21,3,19,31,,21,10,5,30,0,0,0,1,,,,,,3,7,7,,,,,,,11
18,,,,,,115,15,36,,83,,,,,,42,137,275,128,45,,36,,72,51,,108,,36,,,,,,503,20,,135,,,27,103,31,4,20,,,,,63,42,,,27,22,54,,2,,,,,4,45,74,,24,,67,9,18,,311,,,,15,,,11,36,54,27,18,47,9,6,4,2,,,,76,137,,,,,6,,,9,,,2,9,13,4,13,119,4,,,2,,,,,47,,,,4,4,4,2,,,189,139,58,2,18,,,,,,6,6,,6,6,,,,,,22,94,,,,20,,,,65,316,65,,36,36,18,54,130,,13,,13,27,4,18,51,,29,13,,27,6,6,20,,,,,,,4,9,9,,,,,,6,13
19,,,,,,,,15,,,,,,,,,,442,294,124,,,,,,,,,,,,,,31,853,,,232,,,271,38,,77,38,,,,,,,,,,,,,,,,,,,77,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,186,,,,,,,,,,,,,,,31,186,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,46,,,,,,,,,,,,62,,,,,,,,,,,,,,15,15,46,,,,,,,,,,,,,,,15,
20,102,134,16,279,57,18,345,16,17,4,,2,,1,1,1,4,3,3,310,26,5,0,1,2,,3,,1,,,18,5,80,216,0,,12,,,3,3,0,2,3,19,0,,,3,1,,,1,2,1,2,2,,,,,14,74,9,,10,,1,0,0,,8,0,0,18,2,,2,5,0,2,1,0,0,0,0,2,0,0,,,97,130,3,,,,12,,2,0,,,6,18,13,0,44,80,7,,,1,0,,1,2,135,,,,0,0,12,5,,1,4,3,1,11,4,,,,,,3,,,,3,1,7,,,,0,,,3,5,,,,1,2,8,1,,0,0,0,1,5,0,2,0,1,0,0,,0,1,0,1,0,2,1,0,0,,,2,0,1,,0,0,1,6,3,1,1,0,2,0
