ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
41,14,,68,92,28,20,2,2,82,108,145,375,,284,50,362,12,12,35,20,,6,,8,14,,18,,6,,,,,12,243,40,,843,889,116,1623,147,40,249,193,24,,,,,36,,,,22,,,,,,,,48,,237,25,134,,52,135,985,178,346,,,13,29,14,28,,,,,,,,,,,7,7,,23,199,116,60,12,4,50,,36,18,124,228,109,23,50,25,4,71,7,,,,,,,3,31,6,59,22,22,,188,91,,3,422,183,20,86,5,,,,,18,31,81,35,,,,12,9,,,,,24,,,,,5,73,101,118,123,32,5,15,10,,8,,,,,,,12,15,10,40,24,,16,8,8,8,16,15,,,,,,,,,,,,,,74
42,,,,,,28,8,13,,19,1,70,2,78,1,37,45,22,2,8,,7,,22,22,,22,,7,,,,,1,57,2,,310,59,12,71,96,22,108,78,2,,,,14,11,,,4,1,14,,,,,,,19,,115,17,70,15,69,5,9,2,177,,,14,6,0,1,,13,10,4,5,16,1,,,,0,0,,23,66,29,9,0,1,41,,0,3,1,2,1,2,3,18,15,18,0,,,,,,,0,48,2,8,,,,2,1,,5,130,75,21,1,,,,,,2,4,12,1,,,0,3,1,,,7,37,3,1,0,,,,1,22,125,37,34,11,11,5,25,46,,4,,4,8,1,7,27,,23,14,,15,8,7,8,17,,,,,,1,3,3,,,,,,,12
43,,,,,,25,3,,,16,,5,,3,1,10,45,23,,8,,8,,15,8,,25,,8,,,,,,5,3,,53,21,5,67,75,97,70,1,,,,,16,,,,5,1,16,,,,,,,20,,20,26,247,84,35,3,16,3,122,,,23,8,,,,10,11,5,6,15,1,,,,,,,31,58,58,42,,5,188,,,3,,,,8,13,94,3,11,,,,,,,,1,18,8,25,,,,,,,,52,42,20,,,,,,,8,,31,,5,1,,6,5,,,8,26,13,,1,3,,,,20,111,6,,13,13,6,20,38,,5,,5,10,1,13,16,,10,5,,10,,,,,,,,,,1,3,3,,,,,,,
44,13,25,59,54,,,2,,74,104,14,296,10,329,7,40,38,2,10,12,,,,,,,,,,,,6,,,231,29,1,772,192,57,249,223,42,242,327,2,,,,,,,,,,,,,,,,,24,,446,33,290,26,24,26,18,18,39,4,4,43,14,4,8,3,,,,,,,,,2,2,2,,48,254,116,31,2,9,124,,16,4,,14,24,59,71,42,68,56,4,5,,4,,,,5,203,9,20,4,,,44,11,45,9,31,61,22,11,6,,,,4,4,13,32,,18,7,2,18,9,,1,,,28,8,4,5,16,8,,31,20,98,,,,,5,3,3,7,4,2,,2,12,6,,4,1,,,,,2,,,,,,,2,4,4,,,,,,,16
45,26,20,83,79,3,3,9,5,83,182,61,161,3,182,66,75,58,3,1,6,,,,1,3,,,,,,,1,,8,228,78,17,551,70,19,72,60,0,122,101,16,,,0,,2,,,,,,,,,0,,,39,0,318,30,63,0,8,9,13,5,32,0,1,21,50,2,3,1,1,,,,1,0,,,0,0,0,,18,182,43,5,1,0,28,3,6,1,3,8,12,32,30,9,26,103,2,1,,1,,,,1,122,0,3,0,5,5,22,6,17,6,26,28,8,10,23,,,,,,6,8,,9,9,1,3,1,,0,,3,8,1,7,7,,,1,12,12,36,3,0,1,0,3,6,5,11,6,3,0,0,1,3,,5,1,1,3,0,0,5,1,,,0,,,0,0,0,,,0,0,,1,8
46,7,21,21,74,,,49,,6,57,22,36,,37,34,27,1,,,86,27,8,2,1,,,,,,,,175,123,145,147,29,5,152,17,6,20,5,,1,37,282,33,,,5,2,,,,5,,,17,,,,,374,7,6,,9,,5,,,,1,0,0,15,1,4,7,19,,,,,,,,4,,11,,,33,17,,,,,10,,2,,,,5,14,10,,,334,41,,,2,2,,6,1,51,,,,,,10,3,,1,,,,8,5,,,,12,,9,3,,5,3,,8,,,,,,,,3,,6,,0,0,,,,6,3,,0,2,1,3,1,,,,,,,,,0,6,1,1,,,,,1,,,,,,,,2,4,,,
47,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,36,13,6,4,,,,,,,,,,,64,19,,,,,,,,,,,,,,,,55,3,1,,1,,,,,,,,,4,,1,,,,,,,,,,,,,,,,1,,,,,3,,,,,,1,4,3,,,74,,,,,,,,,16,,,,,,3,,,,,,,,4,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,,3,10,17,5,,,,,,,,,,,,,,,,,,262,124,,10,7,90,,,,,,14,,,7,,,,,,,3,,,,10,3,,,,62,,,,,16,178,,,123,,,,,,,,,,,,,,,153,3,,,,,,,,,,,7,1,,62,26,,,,,,,,,,,,,,,,272,19,3,3,3,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,14,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,2,11,,29,13,1,,11,0,2,,,0,2,17,11,,7,1,8,,18,81,88,74,3,21,,,,1,0,,1,,12,,,,12,4,,,2,,,0,511,321,309,181,394,536,20,2,3,25,0,,,32,,,,,,7,,,,38,,,,,36,963,253,14,209,442,33,25,3,5,7,4,242,,,0,61,0,0,,,,,,1,,,0,2,,0,0,412,1058,14,3,11,,,,1,303,,,,,,1,0,,,17,15,7,3,,,,,,,5,,,,,,1,,,3,10,36,13,1,,,,,,7,40,2,1,5,6,3,10,18,,5,,5,10,2,15,20,1,13,8,,15,4,1,,1,2,,,,,1,2,2,0,,,,,,
51,1,2,1,7,,30,30,11,4,13,0,0,,,0,23,1,4,,2,0,1,,39,67,1,32,,1,,,,0,0,4,,,8,,,8,5,,,1,0,,,,185,143,64,42,175,205,0,,,9,,,,15,,,,,,3,2,5,,7,,,,,13,254,64,39,83,187,13,29,9,,0,0,63,,,,14,0,0,,,,,,,,,0,1,,0,,105,275,0,,0,,,,0,78,,,,,,0,0,,,12,5,,1,,,,,,,0,,,,,,0,,,0,6,87,0,,,,,,,0,3,6,2,,,,4,1,,0,,0,0,,1,51,,17,4,,2,1,0,1,1,,,,,6,2,5,4,15,8,2,,,,3
52,,,,,,2,2,,,,,,,,,,,,,,,,,4,17,19,5,5,,,,,,,,,,,,,,,,,,,,,,360,130,263,191,2,256,,,,,1,,,2,,,,,,,,,,,,,,,2,508,129,,,2,,,,,0,,133,,,1,20,,,,,,,,,,,,,,,,183,601,,,0,,,,1,189,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,0,,,,,,,,
53,,,,,,1,1,,,,,,,,,,,,,,,,,2,4,,16,,,,,,,,,,,,,,,,,,,,,,,411,169,373,117,43,281,,,,5,,,,8,,,,,,,,,,,,,,,7,567,142,,0,18,0,,,,,,148,,,,26,,,,,,,,,,,,,,,,209,668,,,,,,,1,203,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9,,,,120,74,60,9,,27,,,,,,,34,27,,13,,13,,371,266,16,120,,136,,,,,,,6,,20,,,,20,6,,,,,,81,2190,1686,13,106,2705,2378,69,55,4,48,201,,,204,,,,,,6,,,,69,,,,,194,2974,809,13,2206,4037,420,570,58,162,23,20,747,,,60,245,9,9,,,,,,,,,9,27,,9,6,1612,3318,13,67,53,,,,,967,,,,,,18,9,,,62,34,69,37,,,,,,,4,,,,,,,,,6,192,341,20,,,,,,,76,167,48,,55,55,27,48,104,,41,,34,76,6,83,146,,118,48,,83,34,,6,,,,,,20,6,13,13,48,27,6,,,,
55,1,1,,8,,22,15,1,,6,,,,,,20,3,7,,9,2,3,,17,79,43,78,20,5,,,,2,1,,0,,9,,,15,2,0,,,4,,,,917,610,375,211,733,566,18,4,5,15,5,,,39,,,,,,0,4,8,,9,,,,,31,1240,316,22,387,819,67,36,9,7,2,2,315,,,7,76,2,2,,,,,,,,,2,6,,2,0,518,1361,1,2,2,,,,1,392,,,,,,4,2,,,7,2,2,8,,,,,,,5,,,,,,1,,,,25,79,,,,,,,,2,7,0,,1,1,0,2,5,,2,,2,4,0,11,44,4,15,2,,4,1,1,5,,,,,,6,4,4,8,19,8,2,,,,
56,,,12,32,,121,43,4,,39,2,6,,,2,6,82,49,,16,,37,,72,65,16,121,,41,,,,,,,4,,61,,,,61,20,,,,,,,103,8,,,61,53,61,24,,,,,,,,,,,,37,,,,189,,,,,,,37,98,125,61,43,150,30,,,12,,,,,4,,,,,,,,8,,,,,,,4,8,37,,,12,,,,,20,,,,,,,,,,86,74,37,,,,,,,,,,,,,,,,,,20,325,,,,,,,,37,197,12,,24,24,12,37,88,,26,,26,61,4,74,169,12,61,39,12,53,2,2,8,,,,,,,10,8,20,12,,,,,,
57,,,,,,,53,17,35,17,,,,,,,,,,88,,,,,,,,,,,,,,53,53,,,,,,,,,,,,,,,35,,,,142,35,71,474,996,,,,,,,,,,,,,,,17,,,,,,,936,160,302,195,35,124,17,349,53,71,207,,,17,100,,,,,,,,,,,,,,,11,468,794,71,,88,,,,23,130,,,,,,,,,17,88,,,106,35,35,,35,,17,,,,23,35,,,,,17,,17,71,,,,47,17,,,,,11,77,59,41,53,88,,17,,17,35,35,,,,35,17,,35,,,,23,,,,,,,,,,,,,,,
58,,,,,,,43,14,29,14,,,,,,,,4,,72,,,,,29,29,,,,,,38,38,62,77,,,,,,,,,,,96,,,,43,,,,9,33,,814,1899,,,,,82,,,,,,,,,,19,,,,,,,1972,314,24,24,,33,4,552,256,130,513,,,19,164,4,,,,,,,,,,,,,,9,828,1676,416,19,227,,,116,48,203,,,,,,,,,19,96,,,116,116,38,,38,,19,,,,67,179,,19,155,,96,,4,407,,77,,135,38,,96,,,14,106,125,67,135,232,38,155,58,58,116,116,,,,77,155,19,193,38,38,38,29,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,110,220,84,1510,67,585,,,,,,,,,,,,,,,,,,,,76,526,339,,50,178,186,,,,424,50,,,984,,,,,,,,,,,,,,,1187,610,101,,,101,16,,,,84,,33,,,,84,,,,,,,,,,,,,,,,882,288,8,42,42,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,33,169,,,,,,,,,,,,,,,16,,,,,,,93,,,169,118,,67,33,67,,,,,,,,,,,,,,,,,
60,6,,2,8,38,17,,,,,,,,,,,,,,,,,3,239,143,9,18,25,54,47,5,1,,,1,,,0,,,,,,,0,,,,48,0,,1,,42,3,,,,2,93,0,,125,,,,,,,,,,,,,,,124,6,,,,,,,,,,,,0,,50,23,,,,,,,,,,,,,,,2,233,17,,,,,,,0,49,,,,,,,,,,,,,,,,,,0,,0,0,,,0,,1,,,,,,,,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,1,,,,,,,0,,,,,,,,1,2,,,
61,11,,,,16,110,2,,,,,,,,,,,,,,,,77,6,10,,,,,5,114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,0,41,,,,,,,,,,,,,,,41,,,,,,,,,,,,,1,,23,2,,,,,,,,,,,,,,,,103,15,,,3,1,3,1,1,17,,,,,,,,,,,,,,,,,,5,5,0,,,,3,,5,,,,,,,,3,,,,,,,,,,,,,,1,5,3,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,193,1163,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12,11,11,31,26,34,22,0,4,41,17,23,,24,21,15,2,0,,21,11,,17,116,91,14,84,35,41,43,30,32,31,43,72,22,5,102,11,6,14,11,3,7,31,130,10,,20,23,19,1,2,26,16,,,5,34,76,12,3,242,0,27,24,37,5,4,,0,10,6,6,4,40,20,139,32,7,,,5,0,,,0,1,0,3,2,0,113,39,2,1,1,,12,2,8,4,,,5,14,11,1,2,294,39,,,1,0,0,3,1,51,0,3,,0,0,7,4,,1,5,3,3,4,3,2,,2,6,3,5,1,,0,1,,3,,2,0,,,5,,1,,1,,0,1,6,1,,1,0,,,,0,2,1,0,,,1,,,1,0,0,1,,,,,,,0,,,,,,,,1,2,,,
64,100,136,16,288,49,19,350,14,20,1,,,,,,,,20,10,405,2,1,,,,,,,,,,23,,,249,,1,,,,,,,,1,9,2,,,,,,,,,,,,,,,,3,14,23,,13,,,,,,,,,40,12,,,,,,,,,,,,,,,,101,194,4,,,,27,,,,,,13,39,27,,64,4,,,,,,,,2,180,,,,,,27,12,,3,,,,24,9,,,,,,7,5,,3,4,2,6,,,,,,,4,5,3,8,4,1,1,,,,8,,,,7,,1,,2,,1,,,2,,2,,,2,1,3,,,3,,2,,1,,2,9,4,1,,1,4,
65,,,51,2,1,1,7,9,30,218,102,248,5,343,151,109,49,12,2,19,,,,,1,,,,,,,8,,,457,95,19,992,121,30,90,90,4,170,324,3,0,,,,,,,,,,,,,,,,36,8,499,32,62,6,5,11,25,8,20,8,5,83,143,,,,,,,,,,,,,,,,66,425,64,7,0,1,42,1,10,5,3,7,17,49,31,6,48,268,,,,,,,0,5,276,1,6,2,1,,28,15,5,5,10,,1,15,6,,,,,,11,9,,14,16,2,10,3,,,,,13,4,12,13,3,1,3,3,,,,3,,,6,10,8,12,9,4,2,1,3,1,,5,1,2,3,2,4,2,,,,,,,1,2,2,,,,,,,
66,49,,141,226,,,28,28,297,375,35,,,120,99,,,,,,,,,,,,,,,,,,,,49,99,70,808,106,,177,255,113,234,560,,,,,,,,,,,,,,,,,,574,,588,1716,751,170,28,,,,21,,7,928,276,,,,,,,,,,,,,,,,765,638,375,226,134,28,120,28,14,,14,7,7,42,70,42,70,191,,,,,,,,,212,7,21,,28,35,7,,,,,,,28,127,,,,,21,7,290,,,21,,,,,,,,,,7,,,,7,14,,,7,7,14,7,,,7,,14,21,,,,,,7,,,,,,28,,,,,,21,,,,49,28,7,,,14,
67,33,24,115,148,0,0,18,10,200,259,19,15,,19,7,50,42,7,,38,,,,,0,,,,,,,21,,,106,73,2,79,21,11,90,96,100,194,112,7,0,,,,,,,,,,,,,,,,85,8,109,72,551,103,19,6,,16,49,49,48,189,60,4,6,,,,,,,,,,,,2,,140,166,105,76,,6,422,12,34,10,5,20,42,133,150,179,5,103,,,,,,,4,6,36,21,57,2,15,18,76,25,54,14,38,68,25,38,82,,,,2,22,10,67,,30,30,,21,19,5,2,,,40,,14,10,21,10,4,45,24,124,2,2,5,2,,,8,,10,16,,,16,2,,5,3,,,,,10,,,,,,6,,,,14,8,2,,,5,23
68,,,,,,,,,,,,,,,,28,5,,,,,,,,,,,,,,,,,,5,2,,25,,,,81,127,66,5,,,,,,,,,,,,,,,,,,45,,45,61,385,51,12,,,,2,,2,53,22,,,,,,,,,,,,,,,,71,81,81,56,,,306,,,,,,,20,,148,,45,,,,,,,2,2,12,20,61,,,,,,,,,,,,,,,,,20,5,71,,22,15,,7,10,5,2,,,17,,12,15,,,,,,,,,,,,,5,,5,7,,,5,,,2,2,,,,,,,,,,,,,,,,,,,,,
69,,,,,,26,9,14,,15,,,,,,25,42,23,,6,,6,,22,22,,20,,6,,,,,2,20,,,146,18,,40,108,16,18,16,4,,,,13,12,,,2,0,13,,,,,,,11,,11,3,21,3,32,2,7,1,170,,,6,1,,,,13,5,2,3,16,1,,,,,,,4,10,6,2,,1,9,,,3,1,3,1,,,3,2,6,,,,,,,,,8,,,,,,3,1,,4,136,78,19,1,,,,,,,1,3,1,,,,,,,,3,38,,,,,,,1,20,124,37,32,10,10,5,23,41,,3,,3,7,0,6,26,,23,14,,14,8,6,8,16,,,,,,0,1,1,,,,,,,13
70,,,,,,25,,,,8,,17,,12,8,171,17,17,,8,,8,,8,8,,25,,8,,,,,,94,8,,326,72,81,570,51,8,111,103,,,,,,51,,,,25,,,,,,,,,,128,,42,,12,77,274,94,120,,,,,,,,,,,,,,,,,,,,8,103,68,30,,,17,,51,25,12,25,34,25,17,8,,25,,,,,,,,,8,8,55,4,4,,17,8,,,42,8,,8,,,,,,25,12,8,4,,,,,,,,,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,6,,,3,,,17,24,14,90,,85,10,50,2,2,,1,,1,,1,1,,3,,1,,,,,,15,4,,55,253,45,319,6,3,5,11,,,,,,7,,,,3,,,,,,,,0,,21,,,,3,21,279,141,133,,,,3,,,,,,,,,,,,,,,,0,28,35,21,,,,,48,24,46,85,57,26,,,,6,,,,,,,,,13,16,56,10,9,0,69,33,,,139,61,7,32,3,0,,0,,35,34,33,14,1,0,,,,,,,,,,0,1,,1,30,36,39,40,6,1,5,3,,2,0,1,0,0,,,,,3,8,4,,3,1,1,1,3,4,,,,,,,,,,,,,,24
72,,,0,,,,,,12,16,1,17,,13,3,14,,,,,,,,,,,,,,,,,,,11,0,,19,47,210,68,2,0,7,5,,,,,,,,,,,,,,,,,,13,,8,,9,,0,8,166,553,215,1,1,4,2,,,,,,,,,,,,,,,,8,54,110,84,,,3,,285,141,12,29,147,154,3,0,,50,,,,,,,,,66,102,271,24,6,4,14,5,9,1,63,17,0,14,18,6,,3,4,217,138,13,1,9,3,,,,,,,,,,4,6,,,2,10,7,4,1,3,3,1,1,4,4,7,1,3,3,1,,1,,3,1,,4,4,,,,1,,,,,1,3,3,,,,,,,5
73,3,5,14,17,,64,14,13,18,58,9,24,,32,2,45,122,58,,19,,19,,42,32,,59,,19,,,,,0,36,12,1,206,111,76,144,152,30,16,36,0,,,,39,12,,,12,5,39,1,1,,,,,8,,22,1,30,0,93,11,170,234,431,0,0,12,3,,,5,27,29,12,16,38,4,3,2,0,0,,,8,48,74,55,,1,23,3,111,62,41,90,90,100,15,7,0,36,4,,,0,,,,,30,36,128,19,11,2,95,33,64,19,300,198,60,60,13,5,,3,4,77,51,31,10,6,2,,,,,,21,80,,,3,5,,0,18,78,308,75,51,35,37,19,57,116,3,19,2,14,26,4,16,51,1,45,25,,35,14,11,13,26,,,,,,4,9,9,,,,,,,22
74,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,8,,,20,,,2,,,,,,11,5,2,,,,,,,,,,,,,,,,,61,,61,,210,,,,,14,2,239,67,189,61,,,,,,,,,,,,,,,,108,128,43,37,,2,8,81,40,61,,,5,20,61,70,5,108,,,,,,,2,2,43,,,,,,,,,,2,2,,,,,,,,,,,,,5,2,11,5,,,,,26,,8,,,,,,,,,,,,8,14,,2,,,,,5,,,,,,,,,11,,5,,,,,,,,,,,,,2,
75,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,15,,,37,,,5,,,,,,21,15,5,,,,,,,,,,,,,,,,,79,,79,5,378,5,,,,26,5,122,63,207,79,10,15,,,,,,,,,,,,5,,111,154,37,31,,,85,53,53,21,,,69,21,42,53,10,101,,,,,,,5,,69,10,15,,15,15,,,,,5,5,,,63,31,,21,,5,,90,,21,47,,5,,,,,,,,15,,42,21,,,,,,,,,,,5,31,5,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
76,,,,,1,1,14,,,,,4,,11,4,,12,,,60,,,,,1,,,,,,,29,,,53,2,10,35,9,3,7,18,8,26,34,11,1,,,,,,,,,,,,,,,,82,23,130,80,170,12,5,,,7,17,39,23,175,62,3,5,,,,,,,,,,,,1,,139,102,27,7,2,8,100,17,19,11,1,4,38,110,86,13,3,71,,,,,,,1,3,22,,,,1,,68,34,9,11,12,,1,42,22,,,,,,,4,,,7,,6,3,,,,,9,,4,,,,5,5,,,,,,,3,6,3,1,3,5,,,4,1,,1,1,,,,,4,,2,,,,,,,,,,,,,1,
77,,,61,2,,,5,1,11,241,161,127,,190,179,93,12,9,,16,,,,,,,,,,,,6,,,383,122,11,710,23,8,40,18,6,19,183,2,,,,,,,,,,,,,,,,,95,16,514,54,122,12,2,,13,8,12,29,20,141,33,5,8,,,,,,,,,,,,2,,147,375,12,5,4,,33,4,11,6,2,8,12,36,33,5,,366,,,,,,,1,2,176,,2,2,1,,19,9,6,2,5,,,12,4,,,,,,5,1,,4,9,,1,,,,,,,,8,2,,,1,1,,,,,,,,4,5,,5,6,2,,,,,5,2,,,,,,,,,,,,,,,,,,,,,
78,14,,2,7,39,80,1,,,,,,,,,,,,,,,,45,234,190,36,223,99,113,62,71,7,1,0,14,,,11,,,9,1,,2,4,3,0,,56,57,36,3,5,55,28,,,,92,167,27,1,307,,,,3,,,,,,,,1,3,2,207,90,,,,7,1,,,,,,7,11,0,85,41,1,1,,,,,,,,,1,1,,,4,456,76,1,1,3,0,1,1,4,87,,3,,,,3,,,,,,,,,,,,5,3,0,1,,2,11,,11,,,1,,,5,,6,,5,,,,,,,2,2,,,,3,7,4,2,,,3,,,,3,1,5,,,,,,,1,,,,,,,,5,9,,,
79,0,0,,2,,,1,,,,,,,,,,,,,1,0,,,1,26,29,25,11,12,,,,0,0,2,,,3,,,4,0,,1,1,1,,,0,338,155,153,87,188,254,,,,10,1,,,15,,,,1,,,,,,,,0,1,0,20,358,121,0,93,213,13,2,,0,4,1,117,3,0,4,29,0,0,,,,,,,,,0,1,,0,0,206,506,6,5,3,,,,1,144,,0,,,,1,0,,,,,,2,,,,,,,2,,,0,2,,1,,,2,2,1,9,0,0,,1,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,3,,0,9,6,0,5,2,3,,0,0,,0,,,,,,,,0,0,,,
80,0,0,,5,,,18,4,9,4,,,,,,,,4,,27,1,,,5,40,56,16,2,18,,,7,9,18,64,,,2,,,,,,2,2,21,,,,576,252,252,142,331,419,17,150,386,11,,,,23,,,,,,,,,,12,,,,,,784,526,50,204,370,30,3,4,113,178,66,343,,,12,78,15,5,,,,,,,4,9,0,7,,0,17,487,1300,169,14,152,56,,59,22,293,,4,4,,,1,0,,2,23,,,20,9,5,,5,,2,6,2,2,15,56,,9,35,4,22,4,10,287,13,19,,30,42,2,4,,,5,63,64,30,67,77,12,63,16,26,70,42,26,10,1,69,82,13,147,32,27,6,9,3,,,,,,3,,,,,,,,
81,5,10,21,60,,182,168,54,26,79,3,10,,,3,38,44,28,,3,,21,,207,315,14,74,,24,,,,,,26,,,47,,,,47,10,,7,,,,,62,287,,,10,54,85,47,115,,,,,,,,,,,31,,,,115,,,,,,7,93,184,21,10,24,287,76,60,21,,24,,,,15,,,,,,,,3,,,,,,,,76,127,12,28,24,,,,,21,,,,,,,,,,99,70,21,,,,,,,,,,,,,,,,,1,15,715,5,,,,,,,26,124,44,15,14,14,7,47,62,,23,3,24,53,3,72,398,14,111,54,10,53,8,3,19,10,,,,,15,21,28,42,51,21,5,,,,21
82,,,,,,129,12,,,70,,,,,,,106,77,,38,,38,,74,70,,116,,38,,,,,,,16,,67,,,,67,22,,,,,,,1613,1116,,3,3069,1745,196,164,16,,,,,,,,,,,22,,,,225,,,,,,2058,693,38,2465,3711,487,1923,187,622,112,58,519,,,,200,6,6,,,,,,,,,6,19,,6,19,1077,2746,90,271,190,,,,,732,,,,,,12,6,,,203,112,206,25,,,,,,,22,,,,,,,,,9,238,1048,29,,,,,,,229,542,119,,161,161,80,129,300,,125,,103,229,22,225,435,,300,148,,251,103,,22,,,,,,29,22,45,45,67,38,9,,,,
83,,,,,,9,2,,,4,,,,,,,5,4,,2,,2,,7,9,,16,,2,,,,,,,1,,3,,,,3,1,,,,,,,373,274,2,7,614,404,10,11,1,4,,,,6,,,,,,1,,,,10,,,,,4,512,137,2,406,735,175,165,27,97,28,3,128,,,,39,1,1,,,,,,,,,1,4,,1,1,241,621,17,47,36,,,,,169,,,,,,2,1,,,10,5,13,5,,,,,,,3,,,,,,,,,2,63,95,3,,,,,,,14,30,9,,10,10,5,8,17,,6,,5,12,2,17,34,,20,8,,13,7,,1,,,,,,3,1,2,2,7,4,1,,,,
84,,,,,,23,,,,7,,,,,,,31,15,,7,,7,,7,7,,33,,7,,,,,,,,,23,,,,23,7,,,,,,,159,106,,1,356,187,41,11,,3,,,,5,,,,,,7,,,,78,,,,,3,177,63,27,297,981,1548,1197,368,1402,597,9,45,,,,96,,,,,,,,,,,,,,,1,606,1335,327,786,673,,,,,388,,,,,,,,,,39,31,23,,,,,,,,35,,,,,,,,,11,1282,549,,,,,,,,23,78,7,,15,15,7,23,47,,7,,7,15,15,31,86,,23,7,,15,,,,,,,,,,7,15,15,,,,,,,
85,6,12,40,111,,321,253,74,30,123,9,27,,,9,61,114,64,,9,,55,,308,435,37,194,,64,,,,,,30,,,101,,,,101,27,,9,,,,,185,376,,,759,157,225,64,21,,,,,,,,,,,67,,,,277,,,,,,49,12,500,1839,1447,1876,3568,1003,3179,1139,9,12,,,,182,,,,,,,,9,,,,,,,,1077,2531,660,1756,1315,,,,,691,,,,,,,,,,268,160,206,,,,,,,,86,,,,,,,,,37,2259,3056,83,,,,,,,234,595,191,18,166,166,83,172,348,,163,,142,324,,469,1160,30,552,237,27,339,123,9,64,12,,,,,101,33,37,67,268,135,33,,,,24
86,3,6,6,20,,74,67,13,,16,3,10,,,3,13,16,13,,3,,6,,81,138,13,30,,10,,,,,,,,,10,,,,10,3,,3,,,,,27,138,,,84,43,50,10,3,,,,,,,,,,,6,,,,33,,,,,,,16,145,195,260,631,1097,87,1306,536,6,,,,,81,6,3,,,,,,3,3,6,,3,,,3,506,1030,290,719,604,,,,,266,,3,3,,,,,,,16,10,,,,,,,,,27,,,,,,,,,6,864,749,20,,,,,,,,30,,,,,,,10,,10,,10,27,,60,233,13,81,20,10,20,3,3,13,,,,,,30,16,20,33,84,40,10,,,,
87,,,,,,,0,0,0,0,,,,,,,,0,,0,,,,,0,0,0,0,0,,,,,0,2,,,,,,,,,,,,,,,1,,,,8,1,,7,13,,,,,0,,,,,,,,,,1,,,,,,0,14,4,23,33,87,126,47,134,75,1,2,,,0,12,0,0,,,,,,,0,0,,0,,,0,74,154,40,98,80,,,,0,39,,0,0,,,,,,0,1,,,0,0,0,,0,,0,3,,,0,0,,,,,0,118,44,3,,,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,1,,,3,0,,0,,,,0,,,,,1,,,,3,1,0,,,,
